Date,Open,High,Low,Close,Adj Close,Volume,3days_before_change
2020-04-15,18.469999,19.559999,18.219999,19.389999,19.389999,1215400,0.8968546763711991
2020-04-16,19.430000,19.799999,19.120001,19.719999,19.719999,956400,0.9332702287397174
2020-04-17,20.000000,20.940001,19.830000,20.910000,20.910000,1042100,0.9914651493598862
2020-04-20,20.520000,22.090000,20.139999,21.620001,21.620001,1154900,1.007925407555925
2020-04-21,21.020000,21.780001,20.459999,21.129999,21.129999,968500,0.9846225528715077
2020-04-22,21.510000,21.809999,20.650000,21.090000,21.090000,931500,0.9517148014440433
2020-04-23,21.059999,22.100000,21.049999,21.450001,21.450001,802700,1.0075152650298138
2020-04-24,21.500000,21.740000,20.910000,21.459999,21.459999,415300,0.998139488372093
2020-04-27,21.730000,22.500000,21.730000,22.160000,22.160000,540800,1.049739410244462
2020-04-28,22.459999,22.815001,20.750000,21.290001,21.290001,618800,1.0270140376266281
2020-04-29,21.610001,21.980000,21.379999,21.500000,21.500000,755700,1.0336538958487451
2020-04-30,21.250000,21.680000,20.580000,21.110001,21.110001,1013100,0.9910799056845027
2020-05-01,20.320000,21.639999,20.000000,20.730000,20.730000,632400,0.9384336803983703
2020-05-04,20.469999,21.160000,20.129999,20.799999,20.799999,669400,0.8634287671232876
2020-05-05,21.180000,21.680000,21.030001,21.299999,21.299999,669400,0.8669108262108262
2020-05-06,21.490000,22.500000,21.410000,22.090000,22.090000,939000,0.8867924528301887
2020-05-07,22.510000,24.267000,22.510000,24.090000,24.090000,973600,0.9694164989939638
2020-05-08,24.500000,24.700001,23.500000,24.570000,24.570000,1063500,1.0165494414563507
2020-05-11,24.400000,25.160000,24.100000,24.910000,24.910000,844200,0.9857538583300356
2020-05-12,25.059999,26.030001,24.270000,24.850000,24.850000,647000,0.9661742210798686
2020-05-13,24.990000,25.150000,22.959999,24.170000,24.170000,1050200,0.9738114423851733
2020-05-14,23.709999,25.620001,23.530001,25.270000,25.270000,890200,0.9768070747272102
2020-05-15,25.150000,25.799999,24.500000,25.719999,25.719999,1105000,0.9691031661980721
2020-05-18,26.650000,26.650000,24.600000,24.820000,24.820000,805900,0.9292400198143025
2020-05-19,24.799999,26.150000,24.660000,25.870001,25.870001,681300,0.9279053776149704
2020-05-20,26.370001,26.760000,26.010000,26.540001,26.540001,596600,0.9969947409092885
2020-05-21,26.690001,26.950001,26.000000,26.709999,26.709999,1139800,1.0818144154793676
2020-05-22,26.950001,27.934999,26.440001,27.879999,27.879999,859200,1.1165398524845755
2020-05-26,28.120001,28.590000,25.850000,26.620001,26.620001,1733800,1.002636610268799
2020-05-27,26.500000,26.510000,23.469999,24.690001,24.690001,2302600,0.8814709389503748
2020-05-28,24.719999,25.730000,24.500000,24.969999,24.969999,1709000,0.8985245808375466
2020-05-29,25.350000,26.559999,25.129999,26.549999,26.549999,1379900,0.9374999646892656
2020-06-01,27.379999,29.062000,27.000000,28.010000,28.010000,2409600,1.0404903417533433
2020-06-02,28.410000,28.650000,27.059999,27.790001,27.790001,1474300,1.0578607156452227
2020-06-03,28.250000,28.740000,27.830000,28.320000,28.320000,2058000,1.0347094981837963
2020-06-04,27.889999,28.549999,25.820000,26.920000,26.920000,3086500,1.0071081182192294
2020-06-05,25.309999,26.299999,23.590000,26.270000,26.270000,4652900,0.9924443140326525
2020-06-08,26.320000,27.490000,25.805000,27.370001,27.370001,3160700,1.1240246817248458
2020-06-09,27.160000,27.350000,26.049999,26.730000,26.730000,2429700,1.0791279773920064
